Unemployment averaged 3.2 per cent for the year as a whole, sustaining a state of full employment.	失业率全年平均在百分之三点二的低位，维持全民就业。
Ends/Wednesday, February 22, 2017	2017年2月22日（星期三）
Ends/Thursday, July 14, 2011Issued at HKT 05:36 NNNN	２０１１年７月１４日（星期四）香港时间５时３３分
As Financial Secretary, I shall also strive to achieve a fiscal balance, to dedicate public resources flexibly for launching various government projects and public services that suit the needs of the community.	作为财政司司长，我亦会致力维持稳健的公共财政，灵活运用公共资源，推动各项政府计划，并提供切合社会需要的服务。
Upon his arrival in Paris, Mr Tsang will attend a reception for the Hong Kong community in France.	抵达巴黎后，他会出席当地港人的聚会。
Mr Lau thanked the Guangdong Youth Federation and committee members of the Communist Youth Leagues of Meizhou and Shaoguan as well as the Municipal People's Governments of the two cities for their full support, and expressed appreciation for the care given to the delegates by teachers and participating schools.	刘江华感谢广东省青年联合会、梅州和韶关巿共青团团委及两巿政府的鼎力支持，以及参与学校和老师对团员的照顾。
Mr Tsang was concerned about the financing capability of SME under the current economic environment.	曾俊华关注中小企在当前经济环境下的融资能力。
In the next financial year, the Government will increase funding support for sports associations to almost $250 million.	在新的财政年度，政府向体育总会的资助会增至接近2亿5,000万元。
Mr Chan called on the Secretary of the CPC Dongguan Municipal Committee, Mr Liang Weidong, and the Mayor of the Dongguan Municipal Government, Mr Xiao Yafei, and had lunch with them.	陈茂波其后与东莞市委书记梁维东和东莞市市长肖亚非会面，并与他们共进午餐。
Siu Sai Wan Plaza, Chai Wan	柴湾环翠商场 筲箕湾爱东商场
Mr Chan and Mr Lau then called on the Commissioner of the State Administration of Taxation, Mr Wang Jun, and discussed matters relating to the Individual Income Tax Law of the Mainland.	陈茂波一行之后与国家税务总局局长王军会面，讨论内地个人所得税法的有关事宜。
Mr Chan said, "Ms Chan has a wealth of expertise and experience in financial services. I am confident that she will provide invaluable contribution to the work of the SFC.	「陈瑞娟女士在金融服务领域拥有丰富专业知识和经验，我有信心她将为证监会的工作作出宝贵贡献。」
In addition to the above 75 per cent tax reduction, the Financial Secretary has also proposed to waive business registration fees for 2012-13, to increase the personal allowances, to increase the deduction ceiling for elderly residential care expenses, to extend the number of years of deduction for home loan interest, and to increase the maximum amount of deduction for mandatory contributions to Mandatory Provident Fund schemes.	除了上述二○一一／一二课税年度百分之七十五的税款宽减外，财政司司长亦建议宽免二○一二／一三年度商业登记费、增加个人免税额和长者住宿照顾开支的扣除上限、延长居所贷款利息扣除年期，以及增加向强积金计划支付的强制性供款的每年最高可扣除款额。
