4. I thought I’d start by first highlighting some of the challenges that securities markets face today, particularly in the light of increasing globalisation.	4. 我想我会首先探讨不同的证券市场现今特别是随著全球一体化越见加剧之际，所面对的若干挑战。
Our Regulatory Platform for Funds Over the last year, and especially during the last quarter of 2008, we stayed in close contact with our fund managers.	基金的监管平台 本会在过去一年，特别是最后一季，一直与基金经理保持密切聯系。
10. Over the past year we have seen a significant increase in legal costs.	10. 回顾过去一年，我们的法律费用大幅增加，主要原因有二：
Foreign investors who wish to invest in the Mainland market can only do so after they have obtained an investment quota under the Qualified Foreign Institutional Investor, or QFII, regime.	境外投资者如打算投资于内地市场，必须首先根据合格境外机构投资者（QFII）计划，申请投资额度。
And in June this year, we entered into a memorandum of understanding (MoU) with the China Banking and Insurance Regulatory Commission to enhance cooperation in the supervision and oversight of financial institutions that operate on a cross-boundary basis.	今年 6 月，本会亦与中国银行保险监督管理委员会签订谅解备忘录，就监管及监察跨境营运的金融机构加强合作。
Like all investors around the world, they will want the option of investing through professional managers in markets around the world.	与世界各地的投资者一样，他们希望可选择透过全球各地的专业基金经理进行投资。
As of May 2010, there were 62 ETFs listed in Hong Kong, and 38 of these were cross-listed in other jurisdictions.	截至 2010 年 5 月，共有 62 只 ETF 在香港上市，当中 38 只亦有在其他地区跨境上市。
Competition will drive down costs and offer better value and services.	竞争会令内地投资者的投资成本下降，并获得更有价值和更好的服务。
This brings me to some of the recent regulatory initiatives that we have undertaken to align our regulatory framework with international best practice standards that I alluded to earlier.	以下我将要谈到本会近期为了使我们的监管架构与我之前提及的国际最佳常规准则趋向一致而采取的若干监管措施。
Today, four Mainland insurance giants have established four asset management subsidiaries and one securities brokerage in Hong Kong under SFC supervision.	目前已有四家内地大型保险公司在证监会规管下于香港设立了四家资产管理附属公司及一家证券经纪行。
The primary statutory corporate regulation is the Companies Ordinance (CO) which only applies to companies incorporated in Hong Kong.	《公司条例》是主要的法定公司规例。
As the A-share market continues to experiment with opening up to the rest of the world, the behaviour and patterns, and risk management models, in the three Hong Kong listed A-share ETFs could provide some useful pointers.	随著 A 股市场持续以试验方式对全球其他地区开放，这三只香港 A 股 ETF 的交易活动、趋势、风险管理模式将能提供有用的參考指标。
We look to your continued support to the SFC.	我们期待各位继续支持证监会的工作。
For those who anticipate they may still have problem meeting this deadline, we are prepared to grant yet another extension of up to another 3 months, provided they have good reasons.	各位如预期将仍难以在限期前符合有关规定，若理由充分，我们都可以将限期再延长三个月。
